Ratio Type,2024,2023,Change
Gross Profit Margin (%),46.206349815233935,44.13112957720756,2.0752202380263753
Operating Profit Margin (%),31.510222870075566,29.821412265024723,1.6888106050508433
Net Profit Margin (%),23.971255769943866,25.30623426432028,-1.334978494376415
Return on Assets (ROA) (%),25.682503150857585,27.509834563776476,-1.8273314129188911
Return on Equity (ROE) (%),164.59350307287096,156.07601454639075,8.517488526480207
Current Ratio,0.8673125765340832,0.9880116717592975,-0.12069909522521427
Quick Ratio,0.5588745521338836,0.6266895146860462,-0.06781496255216257
Cash Ratio,0.36946686924577077,0.4236174195501968,-0.05415055030442606
Asset Turnover (times),1.0713874732862074,1.087077369016657,-0.015689895730449654
Inventory Turnover (times),53.66936590721932,60.540988785341966,-6.871622878122643
Days Inventory Outstanding,6.800900175176135,6.0289732183623155,0.7719269568138198
Accounts Receivable Turnover (times),11.704130499850343,12.989189372373593,-1.2850588725232495
Days Sales Outstanding,31.185571624023428,28.1002909062447,3.0852807177787263
Debt to Equity Ratio,1.6973134328358208,1.6912271103530396,0.006086322482781181
Debt to Assets Ratio,0.2648419091457066,0.2980943494155986,-0.03325244026989199
Equity Ratio,0.15603594717518768,0.17625920705195655,-0.020223259876768873
